date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:17	708/708	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Jul%202018%2001:04:38%20GMT	https://template2.thietkewebsites.com/robots.txt		(from )
21:33:20	161623/161623	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jul%202024%2014:33:21%20GMT	https://template2.thietkewebsites.com/clone25/	C:/template-figures/template2.thietkewebsites.com/clone25/index.html	(from )
21:33:22	44/44	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2023%20Jul%202024%2014:33:23%20GMT	https://template2.thietkewebsites.com/clone25/xmlrpc.php	C:/template-figures/template2.thietkewebsites.com/clone25/xmlrpc.php	(from https://template2.thietkewebsites.com/clone25/)
21:33:22	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225b8f9495-7918%22	https://template2.thietkewebsites.com/clone25/wp-content/plugins/font-awesome-4-menus/css/font-awesome.min.css?ver=4.7.0	C:/template-figures/template2.thietkewebsites.com/clone25/wp-content/plugins/font-awesome-4-menus/css/font-awesome.min1849.css	(from https://template2.thietkewebsites.com/clone25/)
21:33:22	3548/3548	---MCZ	200	added ('OK')	text/css	etag:W/%225ba60ae4-1030%22	https://template2.thietkewebsites.com/clone25/wp-content/plugins/page-navi-slider/style/page-navi-slider.css?ver=4.9.26	C:/template-figures/template2.thietkewebsites.com/clone25/wp-content/plugins/page-navi-slider/style/page-navi-slider092c.css	(from https://template2.thietkewebsites.com/clone25/)
21:33:23	135347/135347	---MCZ	200	added ('OK')	text/css	etag:W/%225b8f9495-21595%22	https://template2.thietkewebsites.com/clone25/wp-content/themes/flatsome/assets/css/flatsome.css?ver=3.5.3	C:/template-figures/template2.thietkewebsites.com/clone25/wp-content/themes/flatsome/assets/css/flatsome1aae.css	(from https://template2.thietkewebsites.com/clone25/)
21:33:23	19050/19050	---MCZ	200	added ('OK')	text/css	etag:W/%225b8f9495-4afe%22	https://template2.thietkewebsites.com/clone25/wp-content/themes/flatsome/assets/css/flatsome-shop.css?ver=3.5.3	C:/template-figures/template2.thietkewebsites.com/clone25/wp-content/themes/flatsome/assets/css/flatsome-shop1aae.css	(from https://template2.thietkewebsites.com/clone25/)
21:33:23	41/41	---M--	200	added ('OK')	text/css	etag:%225b8f9496-12b%22	https://template2.thietkewebsites.com/clone25/wp-content/themes/manh-rem/style.css?ver=3.5.3	C:/template-figures/template2.thietkewebsites.com/clone25/wp-content/themes/manh-rem/style1aae.css	(from https://template2.thietkewebsites.com/clone25/)
21:33:27	2819/2819	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2023%20Jul%202024%2014:33:27%20GMT	https://template2.thietkewebsites.com/clone25/feed/	C:/template-figures/template2.thietkewebsites.com/clone25/feed/index.html	(from https://template2.thietkewebsites.com/clone25/)
21:33:27	98997/98997	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d706f7a-1890b%22	https://template2.thietkewebsites.com/clone25/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/template-figures/template2.thietkewebsites.com/clone25/wp-includes/js/jquery/jqueryb8ff.js	(from https://template2.thietkewebsites.com/clone25/)
21:33:28	2819/2819	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2023%20Jul%202024%2014:33:27%20GMT	https://template2.thietkewebsites.com/clone25/comments/feed/	C:/template-figures/template2.thietkewebsites.com/clone25/comments/feed/index.html	(from https://template2.thietkewebsites.com/clone25/)
21:33:28	2819/2819	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2023%20Jul%202024%2014:33:28%20GMT	https://template2.thietkewebsites.com/clone25/trang-chu/feed/	C:/template-figures/template2.thietkewebsites.com/clone25/trang-chu/feed/index.html	(from https://template2.thietkewebsites.com/clone25/)
21:33:28	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jul%202024%2014:33:29%20GMT	http://template2.thietkewebsites.com/clone25/wp-content/plugins/contentprotector/js/jquery.watermark.js?ver=4.9.26	C:/template-figures/template2.thietkewebsites.com/clone25/wp-content/plugins/contentprotector/js/jquery.watermark.8092c.delayed	(from https://template2.thietkewebsites.com/clone25/)
21:33:28	13801/13801	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b8f9494-35e9%22	https://template2.thietkewebsites.com/clone25/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/template-figures/template2.thietkewebsites.com/clone25/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://template2.thietkewebsites.com/clone25/)
21:33:29	13077/13077	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b8f9495-3315%22	https://template2.thietkewebsites.com/clone25/wp-content/plugins/contentprotector/js/jquery.watermark.js?ver=4.9.26	C:/template-figures/template2.thietkewebsites.com/clone25/wp-content/plugins/contentprotector/js/jquery.watermark092c.js	(from https://template2.thietkewebsites.com/clone25/)
21:33:30	7674/7674	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260d68b0c-1dfa%22	https://template2.thietkewebsites.com/clone25/wp-includes/js/jquery/ui/core.min.js?ver=1.11.4	C:/template-figures/template2.thietkewebsites.com/clone25/wp-includes/js/jquery/ui/core.mine899.js	(from https://template2.thietkewebsites.com/clone25/)
